UF_str;Pop_nr;Altitude_val;Area_val;Latitude_val;Longitude_val;Rendimentos_val;FPM_val;ReceitaTrib_val;QtdeDecl_nr;RendTrib_val
AC;13613;25,0;1807,9;-9,83;66,88;1042,38;5377731,0;515499,0;630;24,65
AC;6610;239,0;4974,2;-10,94;69,57;429,22;0,0;0,0;418;17,78
AC;23378;172,0;3916,5;-11,02;68,75;2243,25;8068597,0;550734,0;1651;74,66999999999999
AC;9173;50,0;3034,8;-9,83;67,95;786,68;4033298,0;307002,0;389;17,33
AC;10170;40,0;1702,6;-10,57;67,68;603,84;0,0;0,0;336;13,46
AC;80953;182,0;8779,2;-7,63;72,67;9363,32;17477626,0;9608371,0;6466;326,24
AC;16417;0,0;1654,8;-11,03;68,74;1503,42;6722164,0;792497,0;1042;49,56
AC;32398;153,0;27974,6;-8,16;70,35;1737,08;0,0;0,0;1235;50,769999999999996
AC;7330;278,0;5357,3;-9,43;71,88;130,78;4038449,0;338344,0;151;5,48
AC;16795;195,0;5453,0;-7,61;72,9;1040,24;6722164,0;701736,0;685;30,39
AC;8514;162,0;10634,5;-8,84;69,26;640,67;0,0;0,0;379;15,149999999999999
AC;16380;190,0;8191,7;-8,94;72,79;372,65;0,0;0,0;281;10,54
AC;17979;136,0;1943,2;-10,34;67,19;1741,77;0,0;0,0;906;38,21
AC;10453;195,0;6443,9;-8,27;72,74;393,0;4034513,0;317473,0;142;4,42
AC;363928;153,0;8835,7;-9,97;67,81;65886,14;176147297,0;57314305,0;50348;3047,01
AC;16475;0,0;3077,0;-7,74;72,64;483,65;0,0;0,0;343;14,440000000000001
AC;5593;25,0;6145,6;-9,43;70,49;93,73;4033298,0;120495,0;140;6,24
AC;20992;201,0;2321,5;-10,15;67,74;2988,66;7648287,0;916630,0;1430;68,24000000000001
AC;41036;150,0;23751,3;-9,07;68,66;3134,38;12099895,0;2962612,0;2461;98,09
AC;38201;168,0;20171,0;-8,16;70,77;2398,58;10755462,0;1646047,0;1714;85,34
AC;17317;150,0;5347,3;-10,65;68,5;1455,49;0,0;0,0;1018;45,05
AC;16396;145,0;2604,7;-9,59;67,53;1256,57;0,0;0,0;547;21,29
AL;20601;570,0;454,6;-9,26;37,94;1347,3;12343206,0;3718891,0;572;17,810000000000002
AL;17972;153,0;189,5;-9,68;36,3;1511,74;0,0;0,0;514;18,759999999999998
AL;229329;264,0;356,2;-9,75;36,66;23814,87;74689127,0;17482029,0;18383;818,1
AL;47052;54,0;528,8;-9,5;36,02;3064,53;20572010,0;2047865,0;1062;43,120000000000005
AL;15565;10,0;138,4;-9,4;35,51;740,0;10286005,0;547111,0;348;13,38
AL;8191;2,0;76,6;-9,84;35,91;692,57;6171603,0;4828868,0;408;17,18
AL;18353;120,0;320,9;-9,68;37,12;1804,28;12504812,0;416512,0;656;25,92
AL;4659;311,0;48,6;-9,57;36,49;435,31;0,0;0,0;134;4,640000000000001
AL;6763;30,0;334,1;-9,83;37,28;382,93;6171603,0;254607,0;120;3,5300000000000002
AL;27185;132,0;186,5;-9,64;36,22;2030,96;14400407,0;2008136,0;1111;39,53
AL;10783;100,0;166,3;-9,25;36,02;669,99;8228809,0;748097,0;143;4,720000000000001
AL;10775;270,0;273,0;-9,4;36,99;676,95;8228804,0;208566,0;331;12,93
AL;21261;102,0;124,3;-9,4;36,15;1173,85;0,0;0,0;605;23,310000000000002
AL;6952;0,0;66,4;-8,85;35,57;466,37;0,0;0,0;192;6,8100000000000005
AL;55814;176,0;295,1;-9,78;36,35;2684,72;20572010,0;1015619,0;1053;36,31
AL;9646;142,0;167,3;-9,96;36,79;518,14;0,0;0,0;218;7,32
AL;17973;342,0;574,6;-9,12;37,6;729,6;12343206,0;1386944,0;336;8,2
AL;17591;84,0;242,6;-9,41;36,07;1384,19;12343206,0;970792,0;535;21,84
AL;8867;347,0;113,1;-9,48;37,38;390,97;0,0;0,0;168;5,9
AL;7417;463,0;172,8;-9,26;36,3;488,89;6171603,0;274024,0;193;8,24
AL;11049;280,0;88,5;-9,63;36,58;744,94;8228804,0;323899,0;281;10,34
AL;21477;140,0;207,9;-8,91;35,73;1325,06;0,0;0,0;578;19,91
